country,2014 usable water per capita
Ukraine,1217.083631
Upper middle income,8386.192751999999
Uruguay,27114.18601
United States,8853.25503
Uzbekistan,531.2490856000001
St. Vincent and the Grenadines,918.6026217
"Venezuela, RB",26793.02412
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,3918.678374
Vanuatu,37894.86449
World,5931.024279
Samoa,
Kosovo,
"Yemen, Rep.",81.32132437
South Africa,821.3252556
Zambia,5207.875736999999
Zimbabwe,902.3542982999999
