country,2019 GDP per capita
Uganda,776.7685759
Ukraine,3659.0313119999996
Upper middle income,9040.045782
Uruguay,16190.12696
United States,65118.358329999995
Uzbekistan,1724.841134
St. Vincent and the Grenadines,7463.537831000001
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2715.2760359999997
Vanuatu,3058.065675
World,11428.56985
Samoa,4315.920675
Kosovo,4417.50994
"Yemen, Rep.",
South Africa,6001.400814
Zambia,1291.343357
Zimbabwe,1463.9859099999999
