Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1087875.796,12264016.63,1300000,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,85027932.96,197821229.1,113463687.2,467541899.4,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,226371388.8,250618095,-28775856.42,27551267.63,162463551.5,135529098.6,-76041739.42,
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,0,0,0,0,400000,0,0,10,-280000,360000,-20000,20000,-93326.6667,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7,23404553.65,
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2400000,1860000,2160000,7540000,6690000,50000,-1170000,,1870000,2000000,37420000,49050000,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748,
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714,1345415234,1089898208,1048706682,917994575.8,1254150556,1149927986,989578334.8,1044389555,1022757857,1204383364,1201022154,
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,489810000,47852734.62,267977643.8,-691490283.6,-3399182607,1474964061,406538235.3,924430387.2,638527391.1,-137420541.8,-3211683186,7107307476,11797986205,5637820866,6253971511,2022484766,2333917876,12216556.89,1628746427,1312830828,3053835682,2123621591,3477597029,4331542879,4909888144,299885485.8,3662695409,8973444817,9641399374,2881569839,3840491004,8899597182,6159576371,14595586407,21370176447,46048851172,69481323910,81836608644,88751312330,76654497098,70001315696,44868032639,50079903886,41259115295,31042743903,25507511321,32582349358,30034154835,33763745255,32853146436,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7780000,6940000,10510000,3410000,1630000,15950000,49430000,112240000,39120000,64580000,97640000,-16940000,95060000,45540000,170240000,-220960000,110210000,46720000,188890000,38790000,-115820000,25940000,129720000,401320000,62460000,399850000,300520000,232430000,257660000,-985340000,-506330000,1183840000,95300000,4255956433,10003500000,10899931926,12805990470,14186521443,5062972005,1134288135,8796769641,7152095826,9566651351,9764914527,11071537020,8550901847,9604773000,10354223000,10385286000,13787465940,
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,89770000,125670000,71720000,100250000,17920000,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523,2793085410,3634931878,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537347786,6473157762,9725553130,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11872856663,6663062112,
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000,800000,8000000,25320000,17570000,51940000,232375000,122034000,104188500,69868500,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,406578406.7,184127986.3,333733314.1,250935110.2,254146163.6,254077251.7,
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
